roll,description,has_another_roll,dice_size,option_1,option_2,option_3,option_4,option_5,option_6
1,**Shell shocked:** roll on the injury table,FALSE,0,,,,,,
2,**The Ganger becomes a Specialist**,FALSE,0,,,,,,
3,**Characteristic Increase: 1-3 WS or 4-6 BS**,TRUE,2,"Advance +1 Weapon Skill, value increases by +20","Advance +1 Blallistic Skill, Value increases by +20",,,,
4,**Characteristic Increase: 1-3 WS or 4-6 BS**,TRUE,2,"Advance +1 Weapon Skill, value increases by +20","Advance +1 Blallistic Skill, Value increases by +20",,,,
5,**Characteristic Increase: 1-3 Str or 4-6 T**,TRUE,2,"Advance +1 Strength, value increases by +30","Advance +1 Toughness, Value increases by +30",,,,
6,**Characteristic Increase: 1-3 Str or 4-6 T**,TRUE,2,"Advance +1 Strength, value increases by +30","Advance +1 Toughness, Value increases by +30",,,,
7,**Characteristic Increase: 1-3 Move or 4-6 Init**,TRUE,2,"Advance +1 Movement, value increases by +10","Advance +1 Initiative, Value increases by +10",,,,
8,**Characteristic Increase: 1-3 Wp or 4-6 Int**,TRUE,2,"Advance +1 Willpower, value increases by +5","Advance +1 Intelligence, Value increases by +5",,,,
9,**Characteristic Increase: 1-3 Will or 4-6 Int**,TRUE,2,"Advance +1 Willpower, value increases by +5","Advance +1 Intelligence, Value increases by +5",,,,
10,**Characteristic Increase: 1-3 Ld or 4-6 Cl**,TRUE,2,"Advance +1  Leadership, value increases by +10","Advance +1 Cool, Value increases by +10",,,,
11,**Characteristic Increase: 1-3 Ld or 4-6 Cl**,TRUE,2,"Advance +1  Leadership, value increases by +10","Advance +1 Cool, Value increases by +10",,,,
12,"**The Ganger becomes a Specialist** and gains a primary skill, value increases by +20",FALSE,0,,,,,,
