roll,scenario_text,has_badzone_event,has_traps,has_Loot_crate_roll,has_monster_roll,Has_Local_Juve_Roll,Has_local Denizen_roll,Has_hive dweller_roll,Has_convoy_roll,attacker_crew_selection_method,attacker_dice_crew_size,attacker_crew_modifier,Attacker_+reinforcements,defender_crew_selection_method,defender_dice_crew_size,defender_crew_modifier,Defender_+reinforcements
1,*Monster Attack*,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,random,0,6,FALSE,random,0,6,FALSE
2,*Crew ambush*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,custom,0,7,FALSE,Random,3,4,FALSE
3,*In the Dark*,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,custom,0,6,FALSE,random,0,6,FALSE
4,*Murder Cyborg*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
5,*Bridge Crossing*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
6,*Pawn Shop*,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Random,3,1,FALSE,Random,3,1,FALSE
7,*Escape the Badzone Storm*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Random,0,7,FALSE,Random,0,7,FALSE
8,*Camp Border Dispute*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Random,3,3,TRUE,Random,3,3,TRUE
9,*Escape the Pit*,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Random,0,6,FALSE,Random,0,6,FALSE
10,*Settlement Dustup*,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Random,0,6,FALSE,Random,0,6,FALSE
11,*Press Gang*,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Random,0,5,FALSE,Random,0,5,FALSE
12,*Day At The Market*,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Random,3,2,FALSE,Random,3,2,FALSE
13,*Mining Expedition*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
14,*Archeo Hunters*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
15,*Spire climb*,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
16,*Ghast Harvest*,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
17,*Recruitment Drive*,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Custom,0,4,FALSE,Random,0,4,FALSE
18,*Raid The convoy*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Custom,0,7,FALSE,Custom,0,7,FALSE
19,*Big Score*,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
20,*Radio Gaga or Crews select*,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Custom,0,7,FALSE,Custom,0,7,FALSE
