roll,description,has_another_roll,dice_size,option_1,option_2,option_3,option_4,option_5,option_6
11,*Critter Swarm*,,,,,,,,
12,*Critter Swarm*,,,,,,,,
13,*Howling Winds*,,,,,,,,
14,*Howling Winds*,,,,,,,,
15,*Choking Clouds*,,,,,,,,
16,*Irradiated Zone*,,,,,,,,
21,*Toxic Downpour*,,,,,,,,
22,*Toxic Downpour*,,,,,,,,
23,*Spore Clouds*,,,,,,,,
24,*Spore Clouds*,,,,,,,,
25,*Brainleaf Outbreak*,,,,,,,,
26,*Warp Storm*,,,,,,,,
31,*Bad Air*,,,,,,,,
32,*Bad Air*,,,,,,,,
33,*Sludge Jellies*,,,,,,,,
34,*Sludge Jellies*,,,,,,,,
35,*Giant Rats*,,,,,,,,
36,*Ammo Shortage*,,,,,,,,
41,*Lair Of The Beast*,,,,,,,,
42,*Lair Of The Beast*,,,,,,,,
43,*Things In The Dark*,,,,,,,,
44,*Things In The Dark*,,,,,,,,
45,*Gunk Tank*,,,,,,,,
46,*Chem Leak*,,,,,,,,
51,*Labyrinth*,,,,,,,,
52,*Labyrinth*,,,,,,,,
53,*Old Cache*,,,,,,,,
54,*Old Cache*,,,,,,,,
55,*Static Storm*,,,,,,,,
56,*Silver Loot Mirage*,,,,,,,,
61,*I’ve Got A Bad Feeling About This*,,,,,,,,
62,*I’ve Got A Bad Feeling About This*,,,,,,,,
63,*Witches Lair*,,,,,,,,
64,*Witches Lair*,,,,,,,,
65,*Mutie Tribe*,,,,,,,,
66,*Golden Loot Mirage*,,,,,,,,
